tweet,username,predict_sentiment
nunggu mas pram fotofoto aneka gaya lupa jari  jakartamenyala kagakribetdah untungadapramdoel,istrinyaabah,neutral
gen z mamak malam minggu mas pram bang doel taman langsat yuk rapat jakartamenyala untungadapramdoel,istrinyaabah,neutral
pramono anung dedikasi dengar aspirasi masyarakat blusukan laku keliling serap hadap rakyat jakartamenyala,SaguKeju8,negative
warga kebon melati nyala satu jakartamenyala prakaruntukjakarta,JhoenRf,negative
pilih yg pastipasti aja deh jejak digital gw pilih mas pram bang doel  gw jakartamenyala  gw optimis pramdoelmenang ,LinNasution,negative
asli the jak the jak asli    th masak masak kalah sm yg  minggu bobotoh dadak the jak gegara nyagub yo mas juara mas pram bang doel u jakartamenyala,Jelli_cent,neutral
kagak ribet jakartamenyala ,JhoenRf,neutral
tuh   susah punggung  lemah kurang propaganda nama   privilege  jakartamenyala gagas original pesan,SETYAKI22965702,negative
kalo nasdem rapat alhamdulilah prakaruntukjakarta jakartamenyala,JhoenRf,negative
momen mas pram silaturahmi komunitas paguyuban warga jakarta jawa kasmaran pimpin leles sudarmanto joglo jateng condet balekambang jaktim jakartamenyala,istrinyaabah,positive
selamat yg raih detikcom awards  tokoh pimpin kolaboratif nominasi sorot mampu mas pram bangun kerja lintas sektor eksekutif legislatif tokoh politik jakartamenyala prakaruntukjakarta,DS_yantie,positive
usia  mas pram doa prabowo subianto presiden moga pimpin bangsa bawa masalah ekonomi tuntas amin moga doa baik kabul jakartamenyala,AnakLolina2,positive
mas pram harga tokoh pimpin kolaboratif detikcom awards  nyala abangkuuh jakartamenyala,narkosun,neutral
pramono anung politis visioner paham dengar rakyat prinsip lupa nurani rakyat bangun fondasi politik kuat orientasi sejahtera masyarakat jakartamenyala,iimwarga062,negative
kuat energi lapis masyarakat mas pram bang deol anak betawai wajib menang pilkada jakarta  jakartamenyala prakaruntukjakarta  irish bella  abu janda  yahya sinwar,Urrangawak,positive
gerbang aswaja jakarta timur dukung pramono anung rano karno pilkada jakarta dekat kultural menang pasang anggap wakil suku jakarta jakartamenyala jakartamnyala pramdoelmenang pramdoel,_CayoPerico,neutral
jowo silaturahmi jalin terima kasih dukung mas mbak inshaallah amanah gaskeun jakartamenyala,pramonoanung,positive
dr camat latih bina job fair yg ada  minggu cari kerja kerja sesuai dgn skillnya anggur minimal ribet yg kagak pake ribet jakartamenyala prakaruntukjakarta,JhoenRf,neutral
bang doel anak betawi asli nengokin warga jakarta belanja biar dikelarin pas wagub yuk enyak babeh lupa pilih pramrano no  jakarta nyala jakartamenyala pramrano doelanakbetawi pilkada pilgubjakarta persija jakmania,alfeandraputra_,neutral
slank aja dukung pramrano resin lingkung jakarta jakartamenyala pramrano doelanakbetawi pilkada pilgubjakarta persija jakmania,alfeandraputra_,neutral
